alias,canonical
227th,Th-227
228Ac,Ac-228
228ac,Ac-228
229Th,Th-229
229th,Th-229
22Na,Na-22
22na,Na-22
230Pa,Pa-230
230Th,Th-230
230pa,Pa-230
230th,Th-230
231Pa,Pa-231
231Th,Th-231
231pa,Pa-231
231th,Th-231
232Th,Th-232
232th,Th-232
233Pa,Pa-233
233pa,Pa-233
235Np,Np-235
235np,Np-235
236Pu,Pu-236
236pu,Pu-236
237Np,Np-237
237Pu,Pu-237
237np,Np-237
237pu,Pu-237
238Pu,Pu-238
238pu,Pu-238
239Np,Np-239
239Pu,Pu-239
239np,Np-239
239pu,Pu-239
240Cm,Cm-240
240Pu,Pu-240
240cm,Cm-240
240pu,Pu-240
241Am,Am-241
241Cm,Cm-241
241Pu,Pu-241
241am,Am-241
241cm,Cm-241
241pu,Pu-241
242Cm,Cm-242
242Pu,Pu-242
242cm,Cm-242
242pu,Pu-242
243Cm,Cm-243
243cm,Cm-243
244Cm,Cm-244
244Pu,Pu-244
244cm,Cm-244
244pu,Pu-244
245Cm,Cm-245
245cm,Cm-245
246Cm,Cm-246
246cm,Cm-246
247Bk,Bk-247
247Cm,Cm-247
247bk,Bk-247
247cm,Cm-247
248Cf,Cf-248
248Cm,Cm-248
248cf,Cf-248
248cm,Cm-248
249Bk,Bk-249
249Cf,Cf-249
249bk,Bk-249
249cf,Cf-249
24Na,Na-24
24na,Na-24
250Cf,Cf-250
250cf,Cf-250
251Cf,Cf-251
251cf,Cf-251
252Cf,Cf-252
252cf,Cf-252
253Cf,Cf-253
253cf,Cf-253
254Cf,Cf-254
254cf,Cf-254
26Al,Al-26
26al,Al-26
28Mg,Mg-28
28mg,Mg-28
31Si,Si-31
31si,Si-31
32P,P-32
32Si,Si-32
32p,P-32
32si,Si-32
33P,P-33
33p,P-33
35S,S-35
35s,S-35
36Cl,Cl-36
36cl,Cl-36
37Ar,Ar-37
37ar,Ar-37
38Cl,Cl-38
38cl,Cl-38
39Ar,Ar-39
39ar,Ar-39
40K,K-40
40k,K-40
41Ar,Ar-41
41Ca,Ca-41
41ar,Ar-41
41ca,Ca-41
42K,K-42
42k,K-42
43K,K-43
43k,K-43
44Sc,Sc-44
44Ti,Ti-44
44sc,Sc-44
44ti,Ti-44
45Ca,Ca-45
45ca,Ca-45
46Sc,Sc-46
46sc,Sc-46
47Ca,Ca-47
47Sc,Sc-47
47ca,Ca-47
47sc,Sc-47
48Sc,Sc-48
48V,V-48
48sc,Sc-48
48v,V-48
49V,V-49
49v,V-49
51Cr,Cr-51
51cr,Cr-51
52Fe,Fe-52
52Mn,Mn-52
52fe,Fe-52
52mn,Mn-52
53Mn,Mn-53
53mn,Mn-53
54Mn,Mn-54
54mn,Mn-54
55Co,Co-55
55Fe,Fe-55
55co,Co-55
55fe,Fe-55
56Co,Co-56
56Mn,Mn-56
56co,Co-56
56mn,Mn-56
57Co,Co-57
57co,Co-57
58Co,Co-58
58Co(m),Co-58m
58CoM,Co-58m
58Com,Co-58m
58co,Co-58
58co(m),Co-58m
58com,Co-58m
59Fe,Fe-59
59Ni,Ni-59
59fe,Fe-59
59ni,Ni-59
60Co,Co-60
60Fe,Fe-60
60co,Co-60
60fe,Fe-60
63Ni,Ni-63
63ni,Ni-63
64Cu,Cu-64
64cu,Cu-64
65Ni,Ni-65
65Zn,Zn-65
65ni,Ni-65
65zn,Zn-65
67Cu,Cu-67
67Ga,Ga-67
67cu,Cu-67
67ga,Ga-67
68Ga,Ga-68
68Ge,Ge-68
68ga,Ga-68
68ge,Ge-68
69Zn,Zn-69
69Zn(m),Zn-69m
69ZnM,Zn-69m
69Znm,Zn-69m
69zn,Zn-69
69zn(m),Zn-69m
69znm,Zn-69m
71Ge,Ge-71
71ge,Ge-71
72As,As-72
72Ga,Ga-72
72as,As-72
72ga,Ga-72
